region;city;area;population
South Korea;Seoul;100,222;53,121,668
Busan;Busan;768;3,459,840
Chungcheongbuk-do ;Cheongju;7,405;1,640,721
Chungcheongnam-do;Daejeon;8,192;2,194,384
Daegu;Daegu;884;2,468,222
Daejeon;Daejeon;540;1,493,979
Gangwon-do;Chuncheon;16,866;1,560,571
Gwangju;Gwangju;501;1,480,293
Gyeonggi-do;Suwon;10,17;13,653,984
Gyeongsangbuk-do ;Daegu;19,03;2,723,955
Gyeongsangnam-do;Changwon;10,533;3,438,676
Incheon;Incheon;1,032;3,029,285
Jeju-do;Jeju;1,849;696,66
Jeollabuk-do;Jeonju;8,067;1,851,991
Jeollanam-do;Gwangju;12,252;1,903,383
Sejong;Sejong;465;346,28
Seoul;Seoul;605;10,010,983
Ulsan;Ulsan;1,06;1,168,469
